dateDayStr,newTransactionSeen,newTrigger,trx_transfer,trc10_transfer,freeze_and_unfreeze_transaction,vote_transaction,other_transaction
2019-05-04,2273284,2112221,86184,63880,3119,5056,2824
2019-05-05,2240677,1977823,104427,142217,3486,4827,7897
2019-05-06,1955931,1733167,95497,114028,3339,7736,2164
2019-05-07,1901255,1706771,91423,93027,3258,4848,1928
2019-05-08,1741615,1538041,89454,101828,3061,4906,4325
2019-05-09,1970391,1765116,97171,97847,3081,5092,2084
2019-05-10,1860737,1671324,86742,93940,3054,4057,1620
2019-05-11,2409409,1930683,133963,333796,3233,5820,1914
2019-05-12,2168795,1832845,164654,161607,3081,5140,1468
2019-05-13,1795375,1504596,158280,123104,3096,4783,1516
2019-05-14,1787838,1543283,148567,85892,3310,5217,1569
2019-05-15,1808572,1529341,170639,97865,3522,5340,1865
2019-05-16,1962457,1659718,223006,69388,3437,5078,1830
2019-05-17,1469336,1281187,116347,63017,2697,4708,1380
2019-05-18,1421579,1241193,111048,60039,2825,5049,1425
2019-05-19,1497878,1305904,116986,65370,3065,4963,1590
2019-05-20,1463218,1278778,113756,61042,3018,4814,1810
2019-05-21,1521517,1314972,115415,81425,3020,5413,1272
2019-05-22,1616435,1374265,168791,64583,2484,4731,1581
2019-05-23,1578970,1397304,116838,55277,2757,4916,1878
2019-05-24,1416410,1218275,111850,77010,2971,4748,1556
2019-05-25,1413158,1219518,103751,82106,2449,4245,1089
2019-05-26,1349643,1140197,109889,90411,2923,5018,1205
2019-05-27,1369630,1187170,113762,58903,3270,5463,1062
2019-05-28,1355457,1163728,113851,68133,4109,4798,838
2019-05-29,1235286,1016983,109940,99644,2788,4995,936
2019-05-30,1483950,1312572,112112,51042,2683,4783,758
2019-05-31,1158120,985908,111679,52751,2358,4779,645
2019-06-01,1065719,902639,102961,51906,2653,4872,688
2019-06-02,1160586,962106,120507,68136,3281,5686,870
2019-06-03,1131815,906448,115086,101443,2863,5114,861
2019-06-04,1154070,977308,104459,64535,2409,4527,832
2019-06-05,1145641,983053,107448,47385,2318,4627,810
2019-06-06,1179771,946960,136506,87972,2918,4650,765
2019-06-07,1923864,1766910,103257,46220,2402,4276,799
2019-06-08,1769113,1585545,99619,76229,2351,4595,774
2019-06-09,1370975,1191787,105345,65341,2396,4575,1531
2019-06-10,1932476,1708304,114271,101104,2560,4952,1285
2019-06-11,1376851,1068697,110992,189731,2555,4269,607
2019-06-12,1262202,1059542,113576,81142,2452,4992,498
2019-06-13,1275766,1047730,113331,107298,2489,4336,582
2019-06-14,1402562,1125468,134105,135741,2582,4062,604
2019-06-15,1371261,1160634,125952,77266,2515,4316,578
2019-06-16,1226037,1012891,127809,77010,2631,5201,495
2019-06-17,1161526,967143,127082,59436,2602,4813,450
2019-06-18,1211433,996604,131021,76834,2468,3834,672
2019-06-19,1463099,1262952,119132,74397,2402,3708,508
2019-06-20,1177207,1000017,122600,47986,2380,3768,456
2019-06-21,1423831,1243972,126560,46525,2214,4139,421
2019-06-22,1389240,1152828,187216,42637,2496,3584,479
2019-06-23,1454022,1148010,230943,67897,2645,4077,450
2019-06-24,1143285,849194,211777,74726,2782,4324,482
2019-06-25,1172447,894722,189253,80649,2677,4301,845
2019-06-26,1230725,863998,209240,149931,2645,4055,856
2019-06-27,1121492,917088,93817,104952,2228,2695,712
2019-06-28,1130141,884354,112937,127032,2305,2783,730
2019-06-29,1126736,877577,113650,129571,2351,2770,817
2019-06-30,1125381,907146,121044,90638,2658,3265,630
2019-07-01,1115909,852596,114374,142402,2403,3206,928
2019-07-02,1056150,852679,112992,83865,2746,3274,594
2019-07-03,1121798,892465,116318,107299,2361,2804,551
2019-07-04,985669,795454,107471,76823,2291,3067,563
2019-07-05,859248,637059,94144,122667,2108,2719,551
2019-07-06,941528,738256,97903,100036,2086,2869,378
2019-07-07,903522,671396,144401,81884,2316,3059,466
2019-07-08,1205193,829570,220929,148121,2798,3199,576
2019-07-09,985481,683755,198928,96833,2468,3011,486
2019-07-10,986702,678877,184018,117296,2860,3206,445
2019-07-11,1139985,742929,170475,220325,2454,3365,437
2019-07-12,964592,669675,159827,129247,2312,3120,411
2019-07-13,943393,707984,167089,63078,2069,2742,431
2019-07-14,919660,681828,166773,64993,2396,3311,359
2019-07-15,980578,711173,166741,96391,2591,3232,450
2019-07-16,1028372,795577,162254,65059,2211,2885,386
2019-07-17,1034198,802513,157236,68675,2398,3028,348
2019-07-18,1074293,833419,154557,80461,2454,2947,455
2019-07-19,1123195,878432,160395,78325,2606,3092,345
2019-07-20,1183099,961504,150393,65239,2450,3029,484
2019-07-21,3491838,3297031,134655,53287,2966,3257,642
2019-07-22,5281095,5057908,146648,69677,3023,3226,613
2019-07-23,5072278,4843719,162755,59128,2888,3054,734
2019-07-24,4695770,4474907,144903,69716,2536,3101,607
2019-07-25,4227846,3997904,146392,77169,2704,3062,615
2019-07-26,4240701,3998296,150126,86010,2568,3012,689
2019-07-27,4681884,4379089,157248,139552,2436,2862,697
2019-07-28,4783522,4521593,150451,105282,2588,3113,495
2019-07-29,4240067,4012678,148952,72176,2495,3191,575
2019-07-30,3656311,3407813,146445,96173,2449,2874,557
2019-07-31,2897424,2678193,143132,70538,2418,2601,542
2019-08-01,2488318,2248138,147136,87287,2484,2650,623
2019-08-02,2321321,2079773,145907,90256,2473,2636,276
2019-08-03,2726995,2474991,140828,105937,2312,2668,259
2019-08-04,3111120,2900258,142319,63148,2278,2777,340
2019-08-05,3145274,2928811,149067,61385,2698,2956,357
2019-08-06,2697446,2471597,147065,73037,2580,2869,298
2019-08-07,3253119,3037025,148127,62437,2339,2891,300
2019-08-08,3072539,2780664,170489,115839,2383,2806,358
2019-08-09,2496715,2309237,105370,77132,2238,2479,259
2019-08-10,2441967,2312861,61959,62243,2189,2500,215
2019-08-11,3585635,3316306,67587,196129,2431,2931,251
2019-08-12,2753827,2612391,75991,59631,2688,2813,313
2019-08-13,2786594,2633727,67651,79771,2431,2712,302
2019-08-14,2887085,2733936,76626,71029,2538,2658,298
2019-08-15,3040140,2894367,68346,66046,2533,2807,6041
2019-08-16,3528854,3311267,141112,70796,2548,2607,524
2019-08-17,3899253,3686668,142370,64795,2357,2744,319
2019-08-18,3953893,3741884,148379,57944,2483,2832,371
2019-08-19,3636906,3415603,148545,66765,2670,2919,404
2019-08-20,3633706,3337443,150872,139641,2463,2760,527
2019-08-21,3178362,2924571,147792,100484,2483,2567,465
2019-08-22,3292002,3010100,150210,126122,2434,2672,464
2019-08-23,2799236,2562753,150950,79770,2466,2740,557
2019-08-24,2514199,2297120,145527,66321,2351,2633,247
2019-08-25,2301643,2074752,149654,71520,2361,2816,540
2019-08-26,2488768,2245205,148373,89085,2563,2805,737
2019-08-27,2298042,2077366,144050,70704,2553,2832,537
2019-08-28,2398383,2195854,142402,54190,2493,2748,696
2019-08-29,2183711,1964977,138608,74887,2404,2436,399
2019-08-30,2185164,1962272,145776,72011,2236,2529,340
2019-08-31,2215660,2011435,138450,60847,2195,2487,246
2019-09-01,2335107,2138222,128691,63254,2234,2454,252
2019-09-02,2137502,1929726,145326,57227,2402,2607,214
2019-09-03,2089186,1886533,141076,56320,2421,2524,312
2019-09-04,1969838,1764787,143778,55978,2426,2561,308
2019-09-05,1906525,1686340,147421,67651,2277,2572,264
2019-09-06,1909014,1702427,144777,57022,2271,2290,227
2019-09-07,2092892,1802113,192127,93829,2244,2333,246
2019-09-08,1967745,1745944,167206,49389,2381,2579,246
2019-09-09,1754140,1548903,159386,40719,2407,2477,248
2019-09-10,1626270,1431905,145840,43576,2216,2506,227
2019-09-11,1831322,1495232,149175,181571,2476,2572,296
2019-09-12,1630677,1358720,144463,122602,2234,2385,273
2019-09-13,1654380,1398102,148589,102760,2131,2555,243
2019-09-14,1849492,1601630,148794,91925,4100,2641,402
2019-09-15,1732916,1482533,145194,99679,2377,2709,424
2019-09-16,1717857,1455450,147239,109589,2496,2709,374
2019-09-17,1706399,1467894,148699,84181,2508,2715,402
2019-09-18,1492726,1260333,149836,77004,2511,2706,336
2019-09-19,1653453,1413128,152192,82501,2563,2701,368
2019-09-20,1740366,1512381,153909,68033,2392,3291,360
2019-09-21,1666468,1443053,152879,65464,2237,2511,324
2019-09-22,1913692,1664987,160353,82878,2510,2713,251
2019-09-23,2131932,1844564,173069,108788,2573,2599,339
2019-09-24,2248678,1956829,176981,109527,2436,2604,301
2019-09-25,2219099,1918929,175283,119257,2595,2796,239
2019-09-26,2381044,2103929,166152,105552,2584,2575,252
2019-09-27,2389996,2064257,186692,134151,2297,2371,228
2019-09-28,2489282,2208911,170539,104760,2383,2433,256
2019-09-29,2412404,2163872,166338,76274,2699,2814,407
2019-09-30,2181382,1878135,192474,104259,3124,3119,271
2019-10-01,2218651,1923630,176181,113409,2501,2700,230
2019-10-02,2286235,2013364,163546,103420,2801,2780,324
2019-10-03,2240261,1979865,169139,85897,2417,2550,393
2019-10-04,2424166,2125873,186218,106732,2428,2673,242
2019-10-05,1920103,1590096,185952,139049,2324,2405,277
2019-10-06,1967281,1662622,184935,114540,2421,2482,281
2019-10-07,2204137,1778908,200963,218576,2593,2789,308
2019-10-08,2369427,2003769,203304,156662,2651,2722,319
2019-10-09,2527854,2241596,180865,99579,2711,2708,395
2019-10-10,2377237,2147939,159916,64118,2448,2479,337
2019-10-11,2538328,2038721,193242,301198,2340,2465,362
2019-10-12,2458866,2150376,178784,124392,2467,2525,322
2019-10-13,2365871,2095919,174983,89561,2557,2604,247
2019-10-14,2378435,2077263,183003,112763,2640,2516,250
2019-10-15,2067052,1756343,186964,118608,2338,2495,304
2019-10-16,2167222,1916429,170001,75564,2445,2530,253
2019-10-17,2284855,2026639,171713,81229,2496,2467,311
