"Date(UTC)","UnixTimeStamp","Value"
"9/7/2021","1630972800","77329829465223626361143"
"9/8/2021","1631059200","39515633546288795956776"
"9/9/2021","1631145600","30730412471497738086142"
"9/10/2021","1631232000","36378790297665446426536"
"9/11/2021","1631318400","19461584653009815305256"
"9/12/2021","1631404800","25460486682521533476225"
"9/13/2021","1631491200","26855413897752044292115"
"9/14/2021","1631577600","23357443783946159725454"
"9/15/2021","1631664000","25623101497518529137534"
"9/16/2021","1631750400","28959450771493024655372"
"9/17/2021","1631836800","20579198142394623580045"
"9/18/2021","1631923200","23703449990042826507125"
"9/19/2021","1632009600","20094297013228398700217"
"9/20/2021","1632096000","48784315248160299905322"
"9/21/2021","1632182400","59720454516151779431133"
"9/22/2021","1632268800","28107320721389740257407"
"9/23/2021","1632355200","20807034075714663582933"
"9/24/2021","1632441600","31535814101718210294806"
"9/25/2021","1632528000","22540843514314052954203"
"9/26/2021","1632614400","21098157785759858057466"
"9/27/2021","1632700800","18891750164732801274032"
"9/28/2021","1632787200","19690472459696082636534"
"9/29/2021","1632873600","21902108901665916362184"
"9/30/2021","1632960000","23998350416750102737460"
"10/1/2021","1633046400","22048543246471213302667"
"10/2/2021","1633132800","16715396904135151050492"
"10/3/2021","1633219200","16025330224863343154974"
"10/4/2021","1633305600","20922775676001394443217"
"10/5/2021","1633392000","21613897382908976105864"
"10/6/2021","1633478400","31783357086565368928516"
"10/7/2021","1633564800","27733599670085275923539"
"10/8/2021","1633651200","27227766833044671613570"
"10/9/2021","1633737600","19488064014699752153854"
"10/10/2021","1633824000","23170639610567963786024"
"10/11/2021","1633910400","24869120510450234716773"
"10/12/2021","1633996800","25238487645882333761842"
"10/13/2021","1634083200","23895310972996134752630"
"10/14/2021","1634169600","27730195524716365250589"
"10/15/2021","1634256000","48065719592064470556812"
"10/16/2021","1634342400","22840984782882149513555"
"10/17/2021","1634428800","23188719777352682747487"
"10/18/2021","1634515200","65240507264311471543163"
"10/19/2021","1634601600","33948662756313569862043"
"10/20/2021","1634688000","31204732234152400809815"
"10/21/2021","1634774400","29509813503989782282771"
"10/22/2021","1634860800","28800523033056063907154"
"10/23/2021","1634947200","26959585778752493169782"
"10/24/2021","1635033600","25243284271172144155204"
"10/25/2021","1635120000","33387888957480641339687"
"10/26/2021","1635206400","32266300932008942459288"
"10/27/2021","1635292800","42913125456353616002067"
"10/28/2021","1635379200","47266737917345683573592"
"10/29/2021","1635465600","62084452139168382275204"
"10/30/2021","1635552000","29108582735278193406110"
"10/31/2021","1635638400","30690249178159856414238"
"11/1/2021","1635724800","32923372497871172292535"
"11/2/2021","1635811200","31540199899341595606305"
"11/3/2021","1635897600","33744372082117080820309"
"11/4/2021","1635984000","28426013314592323980372"
"11/5/2021","1636070400","25848423273729568122210"
"11/6/2021","1636156800","23365851419936217563489"
"11/7/2021","1636243200","23432990221909237389079"
"11/8/2021","1636329600","35182501998843961276520"
"11/9/2021","1636416000","28284414301290771208300"
"11/10/2021","1636502400","40830905489700297148359"
"11/11/2021","1636588800","53812720554349473700829"
"11/12/2021","1636675200","41861698621851841951882"
"11/13/2021","1636761600","38100835507115679055101"
"11/14/2021","1636848000","41929160697760581922289"
"11/15/2021","1636934400","43545546627970852357087"
"11/16/2021","1637020800","62375604090687150430712"
"11/17/2021","1637107200","46267731458755875855887"
"11/18/2021","1637193600","50048959787050847939038"
"11/19/2021","1637280000","42742435280594859962617"
"11/20/2021","1637366400","31675092114581152895884"
"11/21/2021","1637452800","36638988570400370975286"
"11/22/2021","1637539200","43573123498566527813330"
"11/23/2021","1637625600","45834514842072499379446"
"11/24/2021","1637712000","46341807044551538344156"
"11/25/2021","1637798400","46616323162197921555998"
"11/26/2021","1637884800","78279146379390429370714"
"11/27/2021","1637971200","50328675871047051133694"
"11/28/2021","1638057600","52221716345573968573572"
"11/29/2021","1638144000","47976235014850464690552"
"11/30/2021","1638230400","64402075305190913886435"
"12/1/2021","1638316800","59074209817439879228369"
"12/2/2021","1638403200","65923179854785607389424"
"12/3/2021","1638489600","68312159797897682085648"
"12/4/2021","1638576000","126066149971242527520710"
"12/5/2021","1638662400","42429381710570445132311"
"12/6/2021","1638748800","56544096381092161901473"
"12/7/2021","1638835200","46461174598548596828621"
"12/8/2021","1638921600","58983628523284816202878"
"12/9/2021","1639008000","57825903415381752047769"
"12/10/2021","1639094400","53280043341499164340870"
"12/11/2021","1639180800","35156473253161225580672"
"12/12/2021","1639267200","33084518886446671422940"
"12/13/2021","1639353600","72971289691343371939477"
"12/14/2021","1639440000","41261073661410019509885"
"12/15/2021","1639526400","62714420217590458941492"
"12/16/2021","1639612800","56373500283776152546904"
"12/17/2021","1639699200","41241502279036288747130"
"12/18/2021","1639785600","34388693529323056065031"
"12/19/2021","1639872000","61199356736125509890624"
"12/20/2021","1639958400","34732342223896816848174"
"12/21/2021","1640044800","32146102777681237016102"
"12/22/2021","1640131200","40125487318308372031577"
"12/23/2021","1640217600","37209433674188639587675"
"12/24/2021","1640304000","45207414771239725176587"
"12/25/2021","1640390400","29265112366754044249881"
"12/26/2021","1640476800","30872042219073056876155"
"12/27/2021","1640563200","35278243243280732000228"
"12/28/2021","1640649600","48489910625975509557387"
"12/29/2021","1640736000","47605710372347134138142"
"12/30/2021","1640822400","48091241929859267885930"
"12/31/2021","1640908800","80411912811194495960148"
"1/1/2022","1640995200","74797213455008419196185"
"1/2/2022","1641081600","51370987795880128924882"
"1/3/2022","1641168000","98162876613662669821698"
"1/4/2022","1641254400","255252591948574331483348"
"1/5/2022","1641340800","380347883320138538781340"
"1/6/2022","1641427200","322674713329671405707746"
"1/7/2022","1641513600","268078194472559259591454"
"1/8/2022","1641600000","88734670868043493460886"
"1/9/2022","1641686400","39769083781504903036993"
"1/10/2022","1641772800","64699539862109235342748"
"1/11/2022","1641859200","34566421762609224986743"
"1/12/2022","1641945600","41672725133513460499695"
"1/13/2022","1642032000","44575639014966892081097"
"1/14/2022","1642118400","43555232177996540460193"
"1/15/2022","1642204800","41427494143601589456070"
"1/16/2022","1642291200","42961560904889483030967"
"1/17/2022","1642377600","69163879414419080101854"
"1/18/2022","1642464000","68821863413636740501651"
"1/19/2022","1642550400","76755278011052748246010"
"1/20/2022","1642636800","80381214029980159732105"
"1/21/2022","1642723200","133043720941904741280052"
"1/22/2022","1642809600","106095039580250808559939"
"1/23/2022","1642896000","29507961200826931632681"
"1/24/2022","1642982400","69689053537068236739038"
"1/25/2022","1643068800","31102700912922151097720"
"1/26/2022","1643155200","51218372473032086004424"
"1/27/2022","1643241600","32469991902376701041962"
"1/28/2022","1643328000","28632924778839538001628"
"1/29/2022","1643414400","22732875049554880469144"
"1/30/2022","1643500800","20176041275900712669106"
"1/31/2022","1643587200","24196223162632700875955"
"2/1/2022","1643673600","28055930265094323367884"
"2/2/2022","1643760000","52157248474190827395554"
"2/3/2022","1643846400","28769259031926858326270"
"2/4/2022","1643932800","31096408304397079912839"
"2/5/2022","1644019200","23244942521306877916745"
"2/6/2022","1644105600","23601126339832153904669"
"2/7/2022","1644192000","30667588460723575151530"
"2/8/2022","1644278400","40221937639168704104988"
"2/9/2022","1644364800","32283151195958861547452"
"2/10/2022","1644451200","39273154727491873098582"
"2/11/2022","1644537600","36900747030086331982980"
"2/12/2022","1644624000","37139616745246496393147"
"2/13/2022","1644710400","38361616258686802024974"
"2/14/2022","1644796800","99982341785238366921173"
"2/15/2022","1644883200","31889795955409083910671"
"2/16/2022","1644969600","36849011168207449125616"
