Date(UTC),Month,Year,UnixTimeStamp,Transaction Fee (gWei?),BSC Token Transaction Fee,Price,Transaction Fee in USD,,,,
4/29/21,April,2021,1619654400,5.55545E+21,5555.454327,600.65,3336883.642,,,,
4/30/21,April,2021,1619740800,5.6918E+21,5691.799486,623.21,3547186.358,,,,
5/1/21,May,2021,1619827200,5.3292E+21,5329.202237,620.66,3307622.66,,,,
5/2/21,May,2021,1619913600,5.61581E+21,5615.806894,622.29,3494660.472,,,,
5/3/21,May,2021,1620000000,5.93486E+21,5934.859745,676.62,4015644.801,,,,
5/4/21,May,2021,1620086400,5.58737E+21,5587.370828,610.18,3409301.932,,,,
5/5/21,May,2021,1620172800,5.66586E+21,5665.860271,652.13,3694877.459,,,,
5/6/21,May,2021,1620259200,6.38707E+21,6387.072946,634.41,4052022.948,,,,
5/7/21,May,2021,1620345600,6.61573E+21,6615.73316,624.81,4133576.236,,,,
5/8/21,May,2021,1620432000,6.3231E+21,6323.102115,647.2,4092311.689,,,,
5/9/21,May,2021,1620518400,7.43372E+21,7433.721168,662.11,4921941.123,,,,
5/10/21,May,2021,1620604800,9.16907E+21,9169.06579,631.89,5793840.982,,,,
5/11/21,May,2021,1620691200,1.5872E+22,15872.04553,672.46,10673315.74,,,,
5/12/21,May,2021,1620777600,1.32573E+22,13257.27552,591.57,7842606.48,,,,
5/13/21,May,2021,1620864000,9.75268E+21,9752.678701,571.06,5569364.699,,,,
5/14/21,May,2021,1620950400,9.15533E+21,9155.327762,603.21,5522585.259,,,,
5/15/21,May,2021,1621036800,8.84836E+21,8848.362394,563.64,4987290.98,,,,
5/16/21,May,2021,1621123200,8.27484E+21,8274.843028,564.21,4668749.185,,,,
5/17/21,May,2021,1621209600,7.92581E+21,7925.812724,512.11,4058887.954,,,,
5/18/21,May,2021,1621296000,7.72289E+21,7722.890583,508.2,3924772.994,,,,
5/19/21,May,2021,1621382400,1.08862E+22,10886.2328,336.57,3663979.374,,,,
5/20/21,May,2021,1621468800,9.91052E+21,9910.520451,391.12,3876202.759,,,,
5/21/21,May,2021,1621555200,7.15582E+21,7155.823171,326.5,2336376.265,,,,
5/22/21,May,2021,1621641600,5.1517E+21,5151.696646,299.71,1544015.002,,,,
5/23/21,May,2021,1621728000,7.57132E+21,7571.318963,261.63,1980884.18,,,,
5/24/21,May,2021,1621814400,5.31802E+21,5318.015198,345.81,1839022.836,,,,
5/25/21,May,2021,1621900800,4.91151E+21,4911.509088,343.49,1687054.257,,,,
5/26/21,May,2021,1621987200,4.81898E+21,4818.976052,379.83,1830391.674,,,,
5/27/21,May,2021,1622073600,6.04219E+21,6042.190483,369.51,2232649.805,,,,
5/28/21,May,2021,1622160000,4.928E+21,4928.000941,329.16,1622100.79,,,,
5/29/21,May,2021,1622246400,4.34557E+21,4345.572053,305.2,1326268.591,,,,
5/30/21,May,2021,1622332800,4.16765E+21,4167.646314,325.74,1357569.11,,,,
5/31/21,May,2021,1622419200,4.3643E+21,4364.299377,353.89,1544481.907,,,,
6/1/21,June,2021,1622505600,5.05859E+21,5058.586049,362.47,1833585.685,,,,
6/2/21,June,2021,1622592000,4.82372E+21,4823.72339,401.7,1937689.686,,,,
6/3/21,June,2021,1622678400,5.05166E+21,5051.655771,428,2162108.67,,,,
6/4/21,June,2021,1622764800,4.55643E+21,4556.428584,390.73,1780333.341,,,,
6/5/21,June,2021,1622851200,4.75503E+21,4755.028331,390.21,1855459.605,,,,
6/6/21,June,2021,1622937600,3.82557E+21,3825.57386,393.78,1506434.475,,,,
6/7/21,June,2021,1623024000,4.53206E+21,4532.06183,358.12,1623021.983,,,,
6/8/21,June,2021,1623110400,3.97338E+21,3973.375757,352.92,1402283.772,,,,
6/9/21,June,2021,1623196800,3.98939E+21,3989.388904,375.79,1499172.456,,,,
6/10/21,June,2021,1623283200,3.83814E+21,3838.144316,351.99,1350988.418,,,,
6/11/21,June,2021,1623369600,4.16617E+21,4166.172404,345.88,1440995.711,,,,
6/12/21,June,2021,1623456000,3.55706E+21,3557.057191,343.87,1223165.256,,,,
6/13/21,June,2021,1623542400,3.93414E+21,3934.144912,365.87,1439385.599,,,,
6/14/21,June,2021,1623628800,3.73193E+21,3731.928277,370.17,1381447.89,,,,
6/15/21,June,2021,1623715200,4.19743E+21,4197.430701,366.8,1539617.581,,,,
6/16/21,June,2021,1623801600,4.14771E+21,4147.705989,347.26,1440332.382,,,,
