Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
2/19/21,1613692800,17279,1134,5,February,2021,,,,,,,
2/20/21,1613779200,17280,1094,5,February,2021,,,,,,,
2/21/21,1613865600,17280,1023,5,February,2021,,,,,,,
2/22/21,1613952000,17280,1016,5,February,2021,,,,,,,
2/23/21,1614038400,17279,1288,5,February,2021,,,,,,,
2/24/21,1614124800,17280,1034,5,February,2021,,,,,,,
2/25/21,1614211200,17280,1016,5,February,2021,,,,,,,
2/26/21,1614297600,17280,1001,5,February,2021,,,,,,,
2/27/21,1614384000,17280,990,5,February,2021,,,,,,,
2/28/21,1614470400,17272,980,5,February,2021,,,,,,,
3/1/21,1614556800,17277,1011,5,March,2021,,,,,,,
3/2/21,1614643200,17279,1264,5,March,2021,,,,,,,
3/3/21,1614729600,17279,958,5,March,2021,,,,,,,
3/4/21,1614816000,17280,1018,5,March,2021,,,,,,,
3/5/21,1614902400,17280,1064,5,March,2021,,,,,,,
3/6/21,1614988800,17280,1078,5,March,2021,,,,,,,
3/7/21,1615075200,17280,1035,5,March,2021,,,,,,,
3/8/21,1615161600,17265,1069,5,March,2021,,,,,,,
3/9/21,1615248000,17273,1279,5,March,2021,,,,,,,
3/10/21,1615334400,17280,1127,5,March,2021,,,,,,,
3/11/21,1615420800,17275,1024,5,March,2021,,,,,,,
3/12/21,1615507200,17280,1004,5,March,2021,,,,,,,
3/13/21,1615593600,17278,1062,5,March,2021,,,,,,,
3/14/21,1615680000,17279,1007,5,March,2021,,,,,,,
3/15/21,1615766400,17280,1027,5,March,2021,,,,,,,
3/16/21,1615852800,17279,1154,5,March,2021,,,,,,,
3/17/21,1615939200,17278,993,5,March,2021,,,,,,,
3/18/21,1616025600,17279,1062,5,March,2021,,,,,,,
3/19/21,1616112000,17280,1034,5,March,2021,,,,,,,
3/20/21,1616198400,17279,1027,5,March,2021,,,,,,,
3/21/21,1616284800,17279,1026,5,March,2021,,,,,,,
3/22/21,1616371200,17280,1095,5,March,2021,,,,,,,
3/23/21,1616457600,17280,1196,5,March,2021,,,,,,,
3/24/21,1616544000,17278,1061,5,March,2021,,,,,,,
3/25/21,1616630400,17280,1059,5,March,2021,,,,,,,
3/26/21,1616716800,17279,1030,5,March,2021,,,,,,,
3/27/21,1616803200,17280,1032,5,March,2021,,,,,,,
3/28/21,1616889600,17280,1046,5,March,2021,,,,,,,
3/29/21,1616976000,17280,1123,5,March,2021,,,,,,,
3/30/21,1617062400,17275,1318,5,March,2021,,,,,,,
3/31/21,1617148800,17280,1156,5,March,2021,,,,,,,
4/1/21,1617235200,17279,1452,5,April,2021,,,,,,,
4/2/21,1617321600,17279,2386,5,April,2021,,,,,,,
4/3/21,1617408000,17280,1153,5,April,2021,,,,,,,
4/4/21,1617494400,17280,1104,5,April,2021,,,,,,,
4/5/21,1617580800,17280,1162,5,April,2021,,,,,,,
4/6/21,1617667200,17273,1366,5,April,2021,,,,,,,
4/7/21,1617753600,17278,1119,5,April,2021,,,,,,,
4/8/21,1617840000,17279,1092,5,April,2021,,,,,,,
4/9/21,1617926400,17280,1123,5,April,2021,,,,,,,
4/10/21,1618012800,17280,1090,5,April,2021,,,,,,,
4/11/21,1618099200,17280,1073,5,April,2021,,,,,,,
4/12/21,1618185600,17269,1178,5,April,2021,,,,,,,
